seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
120,270,13785,70.8,72.36,57.852789802954526,8.686828851699829
120,280,14438,65.3,202.64,57.75041204286177,9.451193809509277
120,290,15334,89.6,149.16,17.594418968981724,10.060389757156372
120,300,16078,74.4,165.14,32.00924547223609,10.712049722671509
120,310,16924,84.6,65.87,88.12088324136873,11.043843030929565
120,320,17479,55.5,77.5,17.987806089588496,11.379465818405151
120,330,18075,59.6,65.83,14.172785119628704,11.709767818450928
120,340,18703,62.8,232.59,75.16016914746783,12.6023268699646
120,350,19524,82.1,183.95,19.268059468856176,13.327350854873657
120,360,20387,86.3,73.54,81.70243579266675,13.678109884262085
120,370,20952,56.5,257.71,59.43331368800343,14.625318765640259
120,380,22123,117.1,95.12,61.87830051620291,15.084839820861816
120,390,22896,77.3,229.37,45.2377531086328,16.078589916229248
120,400,24233,133.7,94.52,53.36278225120749,16.549537897109985
120,410,24985,75.2,261.74,43.62165551776595,17.5212459564209
120,420,26031,104.6,100.79,33.89138987012876,17.983880758285522
120,430,26994,96.3,79.51,47.3329709130085,18.36882472038269
120,440,27651,65.7,78.31,10.376244632078484,18.711930751800537
120,450,28292,64.1,50.12,35.5482994522171,18.957918882369995
120,460,28751,45.9,106.67,66.22334073155727,19.37262988090515
120,470,29703,95.2,112.28,63.977885185935754,19.86583971977234
120,480,30710,100.7,125.73,90.76138738016013,20.40883183479309
120,490,31750,104.0,170.3,85.92881394683374,21.107423782348633
120,500,33433,168.3,303.45,138.95585652211324,22.40757989883423
130,10,187,18.7,43.04,50.47251096684057,0.1754150390625
130,20,391,20.4,13.21,35.690367563310936,0.24461984634399414
130,30,580,18.9,42.66,83.3095591413127,0.41094088554382324
130,40,1010,43.0,23.79,90.91753957009814,0.5403199195861816
130,50,1243,23.3,38.03,28.378289579590568,0.6968677043914795
130,60,1558,31.5,38.59,12.904833003327496,0.8760991096496582
130,70,1976,41.8,58.24,62.68841438761486,1.2735297679901123
130,80,2495,51.9,68.73,10.879145226831428,1.567516803741455
130,90,3106,61.1,37.52,80.25636243822713,1.765251874923706
130,100,3431,32.5,81.17,69.99296252638119,2.0769190788269043
130,110,4338,90.7,120.03,33.13637221351038,2.5825958251953125
130,120,5087,74.9,52.8,74.02842145692772,2.847105026245117
130,130,5570,48.3,67.16,38.19987276378466,3.133538007736206
130,140,6030,46.0,177.95,50.6888775771272,3.798308849334717
130,150,7249,121.9,497.49,106.87359761257702,5.639762878417969
140,10,233,23.3,23.42,87.75218479485471,0.11205601692199707
140,20,538,30.5,45.69,62.65071528984481,0.3023800849914551
140,30,962,42.4,27.86,86.16602398146243,0.44551801681518555
140,40,1212,25.0,33.16,20.136521423927306,0.587867259979248
140,50,1543,33.1,58.01,32.117814960726314,0.8211870193481445
