lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,40,470,89.3,408.67,43.38406467437744
0.1,40,480,134.8,413.93,45.015883684158325
0.1,40,490,165.7,421.66,46.74854564666748
0.1,40,500,158.8,424.01,48.454914808273315
0.1,50,10,23.8,10.9,0.09538507461547852
0.1,50,20,20.4,34.98,0.2572519779205322
0.1,50,30,17.7,29.85,0.39512205123901367
0.1,50,40,19.2,31.5,0.5399329662322998
0.1,50,50,24.3,33.62,0.7020449638366699
0.1,50,60,34.1,39.06,0.9020750522613525
0.1,50,70,23.6,54.78,1.1310150623321533
0.1,50,80,29.0,98.75,1.5139000415802002
0.1,50,90,22.8,250.43,2.403264045715332
0.1,50,100,27.3,155.71,2.968648910522461
0.1,50,110,30.4,76.91,3.326024055480957
0.1,50,120,31.7,140.48,3.862410068511963
0.1,50,130,26.4,264.5,4.788650989532471
0.1,50,140,23.8,408.64,6.196411848068237
0.1,50,150,27.2,464.69,7.782794952392578
0.1,50,160,29.4,500.0,9.491086959838867
0.1,60,10,25.3,9.35,0.08805131912231445
0.1,60,20,17.0,9.35,0.15726518630981445
0.1,60,30,24.3,9.35,0.24126005172729492
0.1,60,40,26.6,9.35,0.3305032253265381
0.1,60,50,27.2,9.35,0.4195530414581299
0.1,60,60,22.3,9.35,0.49918508529663086
0.1,60,70,31.6,9.35,0.5974090099334717
0.1,60,80,25.2,9.35,0.6826512813568115
0.1,60,90,19.8,11.26,0.7636291980743408
0.1,60,100,29.9,43.2,0.969022274017334
0.1,60,110,23.2,43.74,1.163811206817627
0.1,60,120,20.0,44.75,1.3595871925354004
0.1,60,130,29.9,47.54,1.579294204711914
0.1,60,140,30.7,58.95,1.8369650840759277
0.1,60,150,33.5,122.52,2.34403920173645
0.1,60,160,38.9,189.43,3.0612192153930664
0.1,60,170,41.0,172.59,3.714143991470337
0.1,60,180,34.1,187.88,4.443474292755127
0.1,60,190,42.3,189.62,5.160600185394287
0.1,60,200,38.5,209.63,5.933401107788086
0.1,60,210,48.3,222.34,6.771557092666626
0.1,60,220,33.0,367.14,8.041753053665161
0.1,60,230,60.9,372.04,9.376708030700684
0.1,60,240,53.3,439.09,10.971335172653198
0.1,60,250,52.4,463.41,12.586810111999512
0.1,60,260,51.4,473.3,14.291611194610596
0.1,60,270,44.1,481.81,15.942214250564575
0.1,70,10,22.2,9.33,0.07977604866027832
0.1,70,20,24.1,9.33,0.16168594360351562
0.1,70,30,26.4,9.33,0.2471930980682373
0.1,70,40,19.5,9.33,0.31998109817504883
0.1,70,50,29.3,9.33,0.41216588020324707
0.1,70,60,20.1,9.33,0.485947847366333
0.1,70,70,18.4,10.12,0.5584869384765625
0.1,70,80,29.1,18.83,0.6796278953552246
